NORTH AVONDALE - PADDOCK HILLS,AVONDALE,BOND HILL,CALIFORNIA,CAMP WASHINGTON,CARTHAGE,CLIFTON,COLLEGE HILL,COLUMBIA TUSCULUM,CORRYVILLE,CUF,DOWNTOWN,EAST END,EAST PRICE HILL,EAST WALNUT HILLS,EAST WESTWOOD,ENGLISH WOODS,EVANSTON,HYDE PARK,KENNEDY HEIGHTS,LINWOOD,LOWER PRICE HILL,MADISONVILLE,MILLVALE,MT. ADAMS,MT. AIRY,MT. AUBURN,MT. LOOKOUT,MT. WASHINGTON,NORTH FAIRMOUNT,NORTHSIDE,OAKLEY,OVER-THE-RHINE,PENDLETON,PLEASANT RIDGE,QUEENSGATE,RIVERSIDE,VILLAGES AT ROLL HILL,ROSELAWN,SAYLER PARK,SEDAMSVILLE,SOUTH CUMMINSVILLE,SOUTH FAIRMOUNT,SPRING GROVE VILLAGE,WALNUT HILLS,WEST END,WINTON HILLS,WESTWOOD,WEST PRICE HILL,HARTWELL
4188,12466,6972,469,1343,2733,8304,14133,1304,3327,16989,4850,1518,15340,3794,2445,405,9158,13356,4847,875,1075,9141,2399,1481,8779,4904,4814,11711,1812,7467,10429,6064,900,8083,142,2340,1916,6440,2765,680,801,2368,1964,6495,6627,4787,29950,17155,4640
1977,5732,3122,243,796,1415,4143,6275,664,1863,9512,3256,750,7484,1804,1097,163,4252,6314,2172,445,521,4203,948,843,3954,2444,2293,5593,906,3648,4899,3542,410,3818,102,1141,714,2870,1398,337,377,1111,950,2994,2926,1877,13935,8303,2137
2211,6734,3850,226,547,1318,4161,7858,640,1464,7477,1594,768,7856,1990,1348,242,4906,7042,2675,430,554,4938,1451,638,4825,2460,2521,6118,906,3819,5530,2522,490,4265,40,1199,1202,3570,1367,343,424,1257,1014,3501,3701,2910,16015,8852,2503
1357,932,322,455,884,1805,5990,4800,1190,1633,12356,2933,1292,7973,2503,408,21,2572,12124,1216,784,704,3460,131,1375,2626,1453,4577,10350,297,4422,8798,1518,193,4693,45,1983,134,731,2627,513,31,885,796,1143,635,435,13743,11983,2604
2655,11111,6449,2,404,592,1398,8821,37,1200,2675,1544,168,5876,1111,1947,365,6212,466,3350,33,235,5183,2159,39,5675,3233,54,819,1441,2712,1001,4361,679,2896,79,268,1661,5548,68,151,749,1338,995,5123,5814,4103,14469,4096,1676
7,32,21,2,5,17,18,30,1,6,20,20,5,132,4,4,1,15,16,9,6,31,25,2,0,17,11,8,11,2,20,24,17,3,17,2,1,2,10,10,0,2,3,2,11,23,12,55,53,14
41,65,14,3,4,43,589,73,37,373,1414,175,29,117,81,4,5,66,417,35,3,0,120,1,38,93,48,89,181,5,54,298,46,3,110,1,18,0,48,4,0,1,17,20,65,23,16,388,109,93
0,4,2,0,0,18,8,5,0,5,14,2,0,85,0,4,0,0,4,4,0,0,6,0,0,2,0,1,0,1,1,2,0,0,2,1,1,0,2,0,0,0,0,9,3,3,0,35,24,3
31,51,29,0,7,206,93,59,13,22,136,63,2,615,24,23,0,105,80,82,14,54,38,17,14,106,39,18,64,21,62,102,16,6,124,0,8,63,27,11,3,3,60,59,11,27,24,437,416,81
93,271,135,7,39,52,208,345,26,88,374,113,22,542,71,55,13,188,249,151,35,51,309,89,15,260,120,67,286,45,196,204,106,16,241,14,61,56,74,45,13,15,65,83,139,102,197,823,474,169
47,142,73,2,31,505,345,163,37,64,360,216,18,1056,102,105,3,206,312,120,24,141,134,38,42,253,88,104,259,33,123,344,84,2,240,9,43,103,42,45,12,4,85,111,83,83,60,874,700,238
41697,18120,33492,61818,27669,35000,35834,40464,104511,18119,20650,45849,45592,28425,44103,27097,8474,23637,74053,44310,26143,15257,41526,15543,99125,30189,30146,115558,48882,26547,34495,48024,14517,13397,47436,3455,28033,7328,28535,47293,24091,15357,24395,32067,19885,12808,10849,33922,37720,33021
31010,14980,17796,69452,10881,16426,35138,23293,60749,15743,14537,33799,40137,14586,41769,13955,5828,19416,54692,23535,16290,7525,22868,7188,79981,21966,19713,59836,29248,8803,21850,43587,19468,22083,30858,3455,15368,4173,15646,23746,7789,21837,13911,18710,16241,15259,6997,20814,19036,24153
1139,2520,1665,107,181,582,1644,3714,464,386,1351,331,324,3536,781,574,45,1621,2820,1212,162,169,2333,650,390,2180,827,1339,2908,585,1647,1745,461,184,2136,0,508,463,1240,735,175,41,582,527,1158,1546,1329,6648,4005,864
0.152,0.254,0.124,0.074,0.271,0.158,0.098,0.114,0.091,0.191,0.139,0.173,0.161,0.24,0.207,0.235,0.16,0.235,0.088,0.107,0.139,0.248,0.167,0.123,0.157,0.181,0.284,0.063,0.1,0.311,0.204,0.098,0.459,0.358,0.094,0,0.151,0.24,0.128,0.128,0.358,0.261,0.304,0.158,0.249,0.187,0.075,0.153,0.163,0.209
0.52,0.245,0.546,0.662,0.236,0.52,0.331,0.549,0.659,0.113,0.159,0.102,0.59,0.355,0.408,0.256,0.022,0.453,0.534,0.566,0.5,0.162,0.486,0.114,0.372,0.351,0.333,0.741,0.551,0.496,0.51,0.427,0.123,0.153,0.497,0,0.452,0.06,0.33,0.683,0.446,0.538,0.306,0.567,0.22,0.122,0.042,0.366,0.517,0.269
0.312,0.581,0.572,0.322,0.823,0.614,0.176,0.446,0.094,0.382,0.295,0.415,0.319,0.664,0.228,0.553,0.65,0.493,0.071,0.372,0.702,0.661,0.407,0.607,0.118,0.551,0.497,0.088,0.341,0.658,0.448,0.242,0.462,0.426,0.285,0.859,0.605,0.635,0.57,0.519,0.713,0.658,0.71,0.551,0.514,0.693,0.558,0.518,0.552,0.478
